ra,dec,sp_type,flux
121.26545523059002,-53.10792097318,"K3/4III",5.509
106.07628917544001,-56.74970225008,"ApSi",5.17
133.16086121333,-48.35908811752,"B5V",5.889
134.48149498964,-48.57290939640001,"G8/K0II",5.876
128.96678081401,-50.969646836109995,"ApSi",5.782
137.88909237251,-46.58391048393,"B2III/IV",5.769
134.71813215649,-47.23468313088999,"A6/7(m)A7-F0",5.146
49.3607977422,-47.75169249591,"K2III",5.833
140.59996853951,-46.04744412091,"G6/8III",5.729
87.45691693656126,-56.16666602259251,"K1III",4.494
110.0892616053,-52.31152521669,"F5V",5.953
108.83844220999002,-52.49922416834,"K1III",5.947
102.46380724536418,-53.622450407303056,"G4II",4.408
110.16169072171002,-52.08592245054,"B9II/III",5.367
121.17666508135,-50.59039636783,"G5II",5.943
130.56746881646998,-48.099096702844726,"B2/3IV/V",5.468
131.82851832333,-46.15541627194,"F0III",5.748
131.62727880032,-45.91250532174999,"B5Iab",5.459
131.50685141991954,-46.041528169790006,"A0II",3.91
70.69343169126,-50.481334863389996,"K0/1III",5.298
132.4484928249,-45.30787394879,"A2III",4.935
101.47382350888002,-52.40969088559,"K3III",5.761
106.80533859815,-51.9682736871,"K0III",5.952
101.71947199493,-51.26566786291999,"K1II/III(+G)p",5.379
111.59104119765,-51.01848069573,"K0III",5.081
114.18300032365,-48.83016602093,"B8V",5.68
140.4624451731,-42.1948602299,"M1III",5.572
40.52753029133,-38.38368700439,"G8III",5.988
105.97334218668,-49.583938722529986,"A4IV",4.925
122.4298091606,-47.93719178814,"B2V",5.217
122.7949575175,-48.46199261165,"B3/4V",5.806
87.72175618325,-52.10887422883,"G8III",5.166
118.32565615373706,-48.10293513179667,"B0.5Ib",4.24
120.06120508549999,-48.981511522229994,"A2III/IV",5.996
130.14691121691,-45.19110298168,"M0III",5.648
131.09977947559,-42.64927745762,"G6III",4.046
43.39332032155,-38.43700125942,"F5V",5.926
75.70285863824,-49.15140634984,"F5V",5.372
52.47978034404,-42.63425523793,"A5V",5.753
117.30359381346,-46.85771875409,"B2III",5.805
122.39964053195,-44.12276742136,"B2IV",5.183
108.69173976820001,-46.84967131698,"ApSi",5.715
119.32675417525415,-44.10985982722473,"B2III/IV",5.064
119.75750577669,-45.21583944719,"B3V",5.963
119.46549649977003,-45.57766905917,"K2III",5.123
117.08399885493667,-47.07772423459194,"K0IIIb",4.71
117.30957333150832,-46.373199649924445,"B0III",4.11
129.41097067566457,-42.98908063297749,"A7Ia",4.14
82.90000941684,-45.92531806358999,"K3III",5.844
86.61405182951,-46.59718291723,"K0/1II",5.302
64.81956856717,-44.26791779657,"K2III",5.332
119.24083561428999,-43.50040226652,"B3IV/V",5.346
108.30562750228,-45.18273759937,"B9V",4.874
109.51770550238001,-43.98678578755,"B8II/III",5.839
102.47756810145832,-46.614561586270554,"F5.5V",5.14
123.51220570344002,-40.34786713897,"K1II/III",4.44
133.20007254469,-38.72408816667,"K5/M0III",5.806
307.3349589398699,36.45472714614,"A2Iab-Ib",5.899
311.79480143804,34.37412250475,"K3III",4.93
131.21636116845,-37.14725111745,"B3III",5.722
306.89274602685,38.44035066165,"A3V",5.62
304.6193967396799,36.99980421386,"A2V",5.58
298.96567047159,38.48671912339001,"B5IV",4.946
297.655528231,40.59975976157,"B1.1III+B2.5/3V:",5.68
273.9115720788,42.15934579894,"B7IV",5.556
271.86976770227,43.46188958443,"G8IIICN-1CH-3",4.997
283.8337597401192,43.946089580494444,"M4.5III",4.0
304.66279997014,34.98277055214,"F6Ib",5.162
238.94828034575997,37.94695692687999,"F2IV-V",5.424
308.47578371563,35.250844179679994,"K6:Ib+B2.5:",4.636
302.35674608797,36.839620544,"B2.5Ve",4.93
303.63346814201,36.80630580809,"A2V",4.99
298.70104628816,36.99567628366,"G1Ib-IICH2Fe-1",5.781
299.97998081071,37.042885461359994,"B3IVe",5.19
296.06918833997,37.35435615083999,"G8III",4.887
228.87567841690498,33.31483124216833,"G8IIIFe-1",3.49
237.8080470598467,35.65738158087722,"K1IVa",4.82
228.52517788819,31.78784593626,"K5",5.974
257.38852777425996,40.77703807827,"K3III",5.065
239.74048213162,36.643770623879995,"K5III",5.586
263.28023927431997,41.24345078832,"K1III:",5.726
242.95023068257,36.42509475828,"K3III",5.615
231.57243190074996,34.33599510116,"K4III",5.45
230.45239630803997,32.93369393695999,"B9Vn",5.372
311.41563797232584,30.719714539576106,"K0IIIa",4.23
283.6261778687371,36.89861990961611,"M4II",4.3
284.50790911927993,38.26618875682,"B7IV",5.883
258.76180935986537,36.80916154895945,"K3II",3.18
281.20082994478,37.59459959516,"F1Vnn",5.585
